"onset" "subj" "trial"
"943" 140 7 391
"944" 500 8 392
"945" 360 8 393
"946" -224 8 394
"947" -68 8 394
"948" -160 8 395
"949" 356 8 395
"950" -372 8 396
"951" -276 8 396
"952" -108 8 396
"953" 248 8 396
"954" -164 8 397
"955" -144 8 397
"956" 284 8 397
"957" 256 8 398
"958" 524 8 398
"959" 256 8 399
"960" -124 8 400
"961" 380 8 400
"962" 268 8 401
"963" 528 8 401
"964" 328 8 402
"965" -288 8 403
"966" -264 8 403
"967" -4 8 403
"968" 376 8 403
"969" -284 8 404
"970" -148 8 404
"971" 36 8 404
"972" 408 8 404
"973" 64 8 405
"974" 340 8 405
"975" 68 8 406
"976" 420 8 406
"977" -204 8 407
"978" 348 8 407
"979" -244 8 408
"980" 288 8 408
"981" -260 8 409
"982" 264 8 409
"983" 332 8 409
"984" 256 8 410
"985" 600 8 410
"986" -348 8 411
"987" -136 8 411
"988" 380 8 411
"989" 548 8 411
"990" -288 8 412
"991" 376 8 412
"992" -212 8 413
"993" 280 8 413
"994" 236 8 414
"995" -40 8 415
"996" 336 8 415
"997" 484 8 415
"998" -180 8 416
"999" 588 8 416
"1000" -392 8 417
"1001" 344 8 417
"1002" -172 8 418
"1003" 244 8 418
"1004" 540 8 418
"1005" -64 8 419
"1006" 312 8 419
"1007" 304 8 420
"1008" -292 8 421
"1009" -44 8 421
"1010" 404 8 421
"1011" 68 8 422
"1012" 308 8 422
"1013" 424 8 422
"1014" 444 8 422
"1015" 280 8 423
"1016" 508 8 423
"1017" -100 8 424
"1018" 92 8 424
"1019" 272 8 424
"1020" 296 8 424
"1021" 356 8 424
"1022" -172 8 425
"1023" 292 8 425
"1024" -20 8 426
"1025" 112 8 426
"1026" 136 8 426
"1027" 328 8 426
"1028" 360 8 426
"1029" -324 8 427
"1030" -324 8 427
"1031" 56 8 427
"1032" 340 8 427
"1033" -384 8 428
"1034" 120 8 428
"1035" 252 8 428
"1036" 564 8 428
"1037" -348 8 429
"1038" -324 8 429
"1039" -84 8 429
"1040" 240 8 429
"1041" 600 8 429
"1042" 360 8 430
"1043" 4 8 431
"1044" 380 8 431
"1045" 24 8 432
"1046" -180 8 433
"1047" 340 8 433
"1048" 16 8 434
"1049" 296 8 434
"1050" -252 8 435
"1051" 284 8 435
"1052" 304 8 435
"1053" -308 8 436
"1054" -232 8 436
"1055" -88 8 436
"1056" -312 8 437
"1057" 24 8 437
"1058" 396 8 437
"1059" -264 8 438
"1060" 96 8 438
"1061" 304 8 438
"1062" -352 8 439
"1063" -196 8 439
"1064" 264 8 439
"1065" -180 8 440
"1066" 336 8 440
"1067" -252 8 441
"1068" 372 8 441
"1069" -208 8 442
"1070" 76 8 442
"1071" 360 8 442
"1072" 284 8 443
"1073" -296 8 444
"1074" 292 8 444
"1075" 292 8 444
"1076" 308 8 444
"1077" 276 8 445
"1078" -292 8 446
"1079" -76 8 446
"1080" 296 8 446
"1081" -372 8 447
"1082" 272 8 447
"1083" 556 8 447
"1084" -112 8 448
"1085" 288 8 448
"1086" -172 8 449
"1087" -144 8 449
"1088" 288 8 449
"1089" 268 8 450
"1090" 340 8 450
"1091" 276 8 451
"1092" -12 8 452
"1093" 324 8 452
"1094" 372 8 452
"1095" 336 8 453
"1096" 280 8 454
"1097" 320 8 454
"1098" -196 8 455
"1099" 244 8 455
"1100" 468 8 455
"1101" -180 8 456
"1102" 72 8 456
"1103" 260 8 456
"1104" -224 8 457
"1105" -56 8 457
"1106" 268 8 457
"1107" -272 8 458
"1108" 312 8 458
"1109" 332 8 458
"1110" -376 8 459
"1111" -292 8 459
"1112" -236 8 459
"1113" 312 8 459
"1114" -380 8 460
"1115" 76 8 460
"1116" 356 8 460
"1117" 380 8 460
"1118" -380 8 461
"1119" 312 8 461
"1120" -204 8 462
"1121" 248 8 462
"1122" 272 8 462
"1123" 596 8 462
"1124" -192 8 463
"1125" -64 8 463
"1126" 48 8 463
"1127" 348 8 463
"1128" 416 8 463
"1129" -236 8 464
"1130" 40 8 464
"1131" 344 8 464
"1132" -172 8 465
"1133" 248 8 465
"1134" 268 8 465
"1135" 512 8 465
"1136" 540 8 465
"1137" 284 8 466
"1138" 56 8 467
"1139" 76 8 467
"1140" 292 8 467
"1141" 320 9 468
"1142" 376 9 468
"1143" -176 9 469
"1144" -208 9 470
"1145" 92 9 470
"1146" 568 9 470
"1147" 500 9 471
"1148" -108 9 472
"1149" 504 9 472
"1150" -88 9 473
"1151" -256 9 474
"1152" 88 9 474
"1153" 444 9 474
"1154" 588 9 474
"1155" -164 9 475
"1156" -296 9 476
"1157" 484 9 476
"1158" 492 9 476
"1159" 92 9 477
"1160" 320 9 477
"1161" -272 9 478
"1162" -56 9 478
"1163" 368 9 478
"1164" -72 9 479
"1165" -80 9 480
"1166" 368 9 480
"1167" -280 9 481
"1168" 24 9 481
"1169" 444 9 481
"1170" 28 9 482
"1171" -108 9 483
"1172" 284 9 483
"1173" 268 9 484
"1174" 568 9 484
"1175" -52 9 485
